decode_step,l2_retained_fraction,policy
91,0.9961877377308012,random_matched__budget128__seed991
92,0.9964159371225327,random_matched__budget128__seed991
93,0.9960083966216222,random_matched__budget128__seed991
94,0.9960070387190869,random_matched__budget128__seed991
95,0.9960419660932728,random_matched__budget128__seed991
96,0.9961374096871946,random_matched__budget128__seed991
97,0.9959098121648688,random_matched__budget128__seed991
0,0.8893620901576776,sink_recent__budget128__sink8
1,0.9993432113472019,sink_recent__budget128__sink8
2,0.9993622564193441,sink_recent__budget128__sink8
3,0.9991250376267524,sink_recent__budget128__sink8
4,0.9991655536998388,sink_recent__budget128__sink8
5,0.9991227890808917,sink_recent__budget128__sink8
6,0.9991181003320944,sink_recent__budget128__sink8
7,0.9990275037995122,sink_recent__budget128__sink8
8,0.999034541553257,sink_recent__budget128__sink8
9,0.9990523249165082,sink_recent__budget128__sink8
10,0.9990284524506426,sink_recent__budget128__sink8
11,0.99905146396341,sink_recent__budget128__sink8
12,0.9990619362651163,sink_recent__budget128__sink8
13,0.9990238628587431,sink_recent__budget128__sink8
14,0.9990408638722149,sink_recent__budget128__sink8
15,0.999023323759408,sink_recent__budget128__sink8
16,0.998974438448876,sink_recent__budget128__sink8
17,0.9988876231844578,sink_recent__budget128__sink8
18,0.9989213190461431,sink_recent__budget128__sink8
19,0.998855570614575,sink_recent__budget128__sink8
20,0.9991274647932593,sink_recent__budget128__sink8
21,0.9988982580408236,sink_recent__budget128__sink8
22,0.9990834113908177,sink_recent__budget128__sink8
23,0.9988893327379297,sink_recent__budget128__sink8
24,0.9988858549609626,sink_recent__budget128__sink8
25,0.9988381408754891,sink_recent__budget128__sink8
26,0.9988812269907905,sink_recent__budget128__sink8
27,0.9988646889278677,sink_recent__budget128__sink8
28,0.9988776091926803,sink_recent__budget128__sink8
29,0.9988690156437102,sink_recent__budget128__sink8
30,0.9988909872859532,sink_recent__budget128__sink8
31,0.9988414896402948,sink_recent__budget128__sink8
32,0.9988908608240609,sink_recent__budget128__sink8
33,0.9988540786292278,sink_recent__budget128__sink8
34,0.9988808185633974,sink_recent__budget128__sink8
35,0.9988778294642456,sink_recent__budget128__sink8
36,0.9988815316078907,sink_recent__budget128__sink8
37,0.998865819132952,sink_recent__budget128__sink8
38,0.9988722561184069,sink_recent__budget128__sink8
39,0.9988587016373643,sink_recent__budget128__sink8
40,0.9988793434353103,sink_recent__budget128__sink8
41,0.9988385486454516,sink_recent__budget128__sink8
42,0.9988975223829699,sink_recent__budget128__sink8
43,0.9988393746660751,sink_recent__budget128__sink8
44,0.9986886027080978,sink_recent__budget128__sink8
45,0.998657869209398,sink_recent__budget128__sink8
46,0.9987657751826363,sink_recent__budget128__sink8
47,0.9986380842734345,sink_recent__budget128__sink8
48,0.9987921378424711,sink_recent__budget128__sink8
49,0.9986493361992035,sink_recent__budget128__sink8
50,0.9986954727060828,sink_recent__budget128__sink8
51,0.9986917002816472,sink_recent__budget128__sink8
52,0.9987114416431228,sink_recent__budget128__sink8
53,0.998691361113317,sink_recent__budget128__sink8
54,0.998726849415319,sink_recent__budget128__sink8
55,0.998678430734485,sink_recent__budget128__sink8
56,0.9987009903951328,sink_recent__budget128__sink8
57,0.9986996955608721,sink_recent__budget128__sink8
58,0.9986762783947584,sink_recent__budget128__sink8
