evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6895.0,1.0,user,9
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7233.0,1.0,user,10
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7444.0,1.0,user,11
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8032.0,1.0,user,12
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8240.0,1.0,user,13
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8529.0,1.0,user,14
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8650.0,1.0,user,15
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9446.0,1.0,user,16
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9346.0,1.0,user,17
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9786.0,1.0,user,18
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9789.0,1.0,user,19
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10194.0,1.0,user,20
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10459.0,1.0,user,21
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10771.0,1.0,user,22
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10084.0,1.0,user,23
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12012.0,1.0,user,24
0.0,0,L00-L04,explicit_layer,explicit layer column,none,11774.0,1.0,user,25
0.0,0,L00-L04,explicit_layer,explicit layer column,none,11695.0,1.0,user,26
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12068.0,1.0,user,27
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12495.0,1.0,user,28
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12483.0,1.0,user,29
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13204.0,1.0,user,30
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12200.0,1.0,user,31
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14139.0,1.0,user,32
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13537.0,1.0,user,33
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13698.0,1.0,user,34
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13137.0,1.0,user,35
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14664.0,1.0,user,36
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14124.0,1.0,user,37
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14138.0,1.0,user,38
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13995.0,1.0,user,39
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14975.0,1.0,user,40
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14098.0,1.0,user,41
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14758.0,1.0,user,42
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13323.0,1.0,user,43
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12207.0,1.0,user,44
0.0,0,L00-L04,explicit_layer,explicit layer column,none,11413.0,1.0,user,45
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8182.0,1.0,user,46
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5017.0,1.0,user,47
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,4676.0,1.0,system,0
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,6550.0,1.0,system,1
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,6820.0,1.0,system,2
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,8112.0,1.0,system,3
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,8863.0,1.0,system,4
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,8089.0,1.0,system,5
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,8344.0,1.0,system,6
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,7414.0,1.0,system,7
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,7828.0,1.0,system,8
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,7139.0,1.0,system,9
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,6657.0,1.0,system,10
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,5534.0,1.0,system,11
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,6462.0,1.0,system,12
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,5420.0,1.0,system,13
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,5052.0,1.0,system,14
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,4270.0,1.0,system,15
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,5260.0,1.0,system,16
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,3991.0,1.0,system,17
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,4192.0,1.0,system,18
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,3220.0,1.0,system,19
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,3192.0,1.0,system,20
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2915.0,1.0,system,21
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2473.0,1.0,system,22
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1989.0,1.0,system,23
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2525.0,1.0,system,24
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1913.0,1.0,system,25
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1715.0,1.0,system,26
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1537.0,1.0,system,27
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1387.0,1.0,system,28
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1237.0,1.0,system,29
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1172.0,1.0,system,30
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,894.0,1.0,system,31
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,920.0,1.0,system,32
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,679.0,1.0,system,33
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,547.0,1.0,system,34
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,362.0,1.0,system,35
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,295.0,1.0,system,36
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,168.0,1.0,system,37
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,86.0,1.0,system,38
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,30.0,1.0,system,39
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,6.0,1.0,system,40
222.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,11297.0,0.9807274937060508,template,0
469.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,5097.0,0.9157384117858426,template,1
531.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2612.0,0.8310531339484569,template,2
157.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,509.0,0.7642642642642643,template,3
113.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,0.0,0.0,template,4
181.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,0.0,0.0,template,5
150.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,23.0,0.1329479768786127,template,6
116.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,182.0,0.610738255033557,template,7
43.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,445.0,0.9118852459016393,template,8
33.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,596.0,0.9475357710651828,template,9
30.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,720.0,0.96,template,10
21.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,713.0,0.9713896457765667,template,11
24.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,841.0,0.9722543352601156,template,12
37.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,779.0,0.9546568627450981,template,13
61.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,766.0,0.9262394195888755,template,14
64.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,674.0,0.9132791327913279,template,15
74.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,806.0,0.9159090909090909,template,16
54.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,862.0,0.9410480349344978,template,17
92.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,962.0,0.9127134724857685,template,18
88.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1077.0,0.9244635193133047,template,19
77.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1193.0,0.9393700787401574,template,20
76.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1181.0,0.939538583929992,template,21
98.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1274.0,0.9285714285714286,template,22
60.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,824.0,0.9321266968325792,template,23
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1539.0,1.0,template,24
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,861.0,1.0,template,25
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1004.0,1.0,template,26
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,883.0,1.0,template,27
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,745.0,1.0,template,28
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,634.0,1.0,template,29
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,555.0,1.0,template,30
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,377.0,1.0,template,31
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,429.0,1.0,template,32
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,409.0,1.0,template,33
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,299.0,1.0,template,34
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,323.0,1.0,template,35
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,290.0,1.0,template,36
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,280.0,1.0,template,37
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,222.0,1.0,template,38
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,189.0,1.0,template,39
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,124.0,1.0,template,40
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,51.0,1.0,template,41
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,108.0,1.0,template,42
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1015.0,1.0,template,43
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2323.0,1.0,template,44
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,3430.0,1.0,template,45
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,7138.0,1.0,template,46
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,5518.0,1.0,template,47
731.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,0.0,0.0,user,0
3136.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,0.0,0.0,user,1
4663.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,0.0,0.0,user,2
5584.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,0.0,0.0,user,3
5815.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,0.0,0.0,user,4
5918.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,0.0,0.0,user,5
6310.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,0.0,0.0,user,6
6373.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,16.0,0.0025043042729691657,user,7
6517.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,100.0,0.01511258878645912,user,8
6556.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,339.0,0.049166062364031905,user,9
6578.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,655.0,0.09055716853311213,user,10
6520.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,924.0,0.12412681354110693,user,11
6645.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1387.0,0.17268426294820718,user,12
6607.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1633.0,0.19817961165048545,user,13
6610.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,1919.0,0.2249970688240122,user,14
6612.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2038.0,0.23560693641618496,user,15
6784.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2662.0,0.2818124073681982,user,16
6736.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2610.0,0.2792638561951637,user,17
6827.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2959.0,0.3023707337012058,user,18
6834.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2955.0,0.3018694452957401,user,19
6913.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,3281.0,0.32185599372179713,user,20
6955.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,3504.0,0.335022468687255,user,21
