decode_step,l2_retained_fraction,policy
19,0.9990060976063069,sink_recent__budget128__sink8
20,0.9988262864513079,sink_recent__budget128__sink8
21,0.9991582448652577,sink_recent__budget128__sink8
22,0.9989033863192828,sink_recent__budget128__sink8
23,0.9990678380521737,sink_recent__budget128__sink8
24,0.9988930766175409,sink_recent__budget128__sink8
25,0.9989400558145148,sink_recent__budget128__sink8
26,0.9988586441911069,sink_recent__budget128__sink8
27,0.9989484486095502,sink_recent__budget128__sink8
28,0.998942736605749,sink_recent__budget128__sink8
29,0.9989503564356974,sink_recent__budget128__sink8
30,0.9989003702985186,sink_recent__budget128__sink8
31,0.9989390459746101,sink_recent__budget128__sink8
32,0.9988504316445104,sink_recent__budget128__sink8
33,0.9989533241346862,sink_recent__budget128__sink8
34,0.9989175565591307,sink_recent__budget128__sink8
35,0.9989353145526352,sink_recent__budget128__sink8
36,0.9989682987799497,sink_recent__budget128__sink8
37,0.9988729900548547,sink_recent__budget128__sink8
38,0.9990126675611013,sink_recent__budget128__sink8
39,0.998867339232503,sink_recent__budget128__sink8
40,0.999030641644856,sink_recent__budget128__sink8
41,0.9989506746064066,sink_recent__budget128__sink8
42,0.9988847379384326,sink_recent__budget128__sink8
43,0.9989290797525677,sink_recent__budget128__sink8
44,0.9988453097095599,sink_recent__budget128__sink8
45,0.9983633624234347,sink_recent__budget128__sink8
46,0.9988276970621789,sink_recent__budget128__sink8
47,0.9980745313508301,sink_recent__budget128__sink8
48,0.9988111398124263,sink_recent__budget128__sink8
49,0.9983644118733136,sink_recent__budget128__sink8
50,0.998428884754065,sink_recent__budget128__sink8
51,0.9983677137060484,sink_recent__budget128__sink8
52,0.9983237984025698,sink_recent__budget128__sink8
53,0.9984410597947974,sink_recent__budget128__sink8
54,0.9986807584738654,sink_recent__budget128__sink8
55,0.998664954516113,sink_recent__budget128__sink8
56,0.998696433341852,sink_recent__budget128__sink8
57,0.9987133936314186,sink_recent__budget128__sink8
58,0.9986678552753384,sink_recent__budget128__sink8
59,0.9991084046075176,sink_recent__budget128__sink8
60,0.9991694380319401,sink_recent__budget128__sink8
61,0.9991797434136476,sink_recent__budget128__sink8
62,0.9990352664146409,sink_recent__budget128__sink8
63,0.9990557699878699,sink_recent__budget128__sink8
64,0.999071481949013,sink_recent__budget128__sink8
65,0.999015856941981,sink_recent__budget128__sink8
66,0.9990996915355413,sink_recent__budget128__sink8
67,0.9976686486469013,sink_recent__budget128__sink8
68,0.9989491780983324,sink_recent__budget128__sink8
69,0.9962825644717732,sink_recent__budget128__sink8
70,0.9969517336561782,sink_recent__budget128__sink8
71,0.9961792150750777,sink_recent__budget128__sink8
72,0.9960780031066623,sink_recent__budget128__sink8
73,0.9962248544059169,sink_recent__budget128__sink8
74,0.9959445664901249,sink_recent__budget128__sink8
75,0.9959930841045432,sink_recent__budget128__sink8
